submission_TITLE,submission_ABSTRACT,KEYWORDS_SELECTION
An Explainable Artificial Intelligence-enabled ECG Framework for the Prediction of Subclinical Coronary Atherosclerosis,"Coronary artery calcium (CAC) as assessed by computed tomography (CT) is a marker of subclinical coronary atherosclerosis. However, routine application of CAC scoring via CT is limited by high costs and accessibility. An electrocardiogram (ECG) is a widely-used, sensitive, cost-effective, non-invasive, and radiation-free diagnostic tool. Considering this, if artificial intelligence (AI)-enabled electrocardiograms (ECGs) could opportunistically detect CAC, it would be particularly beneficial for the asymptomatic or subclinical populations, acting as an initial screening measure, paving the way for further confirmatory tests and preventive strategies, a step ahead of conventional practices. With this aim, we developed an AI-enabled ECG framework that not only predicts a CAC score =400 but also offers a visual explanation of the associated potential morphological ECG changes, and tested its efficacy on individuals undergoing health checkups, a group primarily comprising healthy or subclinical individuals. To ensure broader applicability, we performed external validation at a separate institution.","['Data-driven research and discovery', 'Clinical decision support for translational/data science interventions', 'Machine learning and predictive modeling']"
Investigating Cross-Domain Binary Relation Classification in Clinical Natural Language Processing,"This paper addresses the challenge of binary relation classification in clinical Natural Language Processing (NLP), focusing on diverse domains including gene-disease associations, compound protein interactions, and social determinants of health (SDOH). We evaluate different approaches, including fine-tuning Bidirectional Encoder Representations from Transformers (BERT) models and generative Large Language Models (LLMs), and examine their performance in zero and few-shot settings. We also introduce a novel dataset of clinical text annotated with social and clinical entities to facilitate research into relation classification. Our results underscore the continued complexity of this task for both humans and models. BERT-based models trained on domain-specific data excelled in certain domains and achieved comparable performance and generalization power to generative LLMs in others. Despite these encouraging results, these models are still far from achieving human-level performance. We also highlight the significance of high-quality training data and domain-specific fine-tuning on the performance of all the considered models.","['Natural Language Processing', 'Social determinants of health', 'Machine learning and predictive modeling']"
Uncertainty-Aware Deep Learning Differentiates Cancers of the Central Nervous System -- A Multi-Center Study,"Glioblastoma and primary central nervous system lymphoma (PCNSL) have overlapping pathology profiles but require different treatments. To address this clinical challenge, we developed the Pathology Image Characterization Tool with Uncertainty-aware Rapid Evaluation (PICTURE) using 4,135 pathology slides from multiple hospitals. Leveraging uncertainty quantification, PICTURE distinguished glioblastoma and PCNSL with expert-level performance and flagged rare brain cancers that are neither glioblastoma nor PCNSL. Our approaches provide a generalizable machine learning framework for rapid pathology diagnosis.","['Medical Imaging', 'Data-driven research and discovery', 'Machine learning and predictive modeling']"
Healthcare Utilization is an Important Methodological Consideration for EHR-based Association Analyses,"Association analyses using electronic health records (EHRs) can uncover risk factors for medical conditions. However, patients with these medical conditions often have increased healthcare utilization, which can lead to increased incidental diagnoses, thereby potentially inflating estimated associations. Here, we analyze how controlling for healthcare utilization impacts association results for recurrent pregnancy loss from two independent medical centers. While utilization substantially affected one center's results, inter-center validation identified associations that were robust across center-specific utilization patterns.","['Phenomics and phenome-wide association studies', 'Secondary use of EHR data', 'Data mining and knowledge discovery']"
Development and Validation of a Smartphone App for Automated Knee Range of Motion Measurement in a Clinical Setting,"Knee range of motion (ROM) analysis has been a longstanding diagnostic tool employed to assess functionality and ability of the knee joint to move through its full range of motion. This type of analysis is often performed by a healthcare provider, physical therapist, or orthopedic surgeon either visually or with the assistance of a goniometer. While in the preoperative setting, knee range of motion analysis can help determine an appropriate surgical approach, in the postoperative setting, it can be used to monitor the patient's progress and ensure that the surgical intervention has been successful. However, a list of patients particularly from underserved communities may not be able to accurately assess their knee ROM outside of a clinical setting in comparison to a healthcare professional cite{ref3}. Thus, a smartphone application that provides patients with the ability to assess their knee ROM offers a more accessible method to regaining function and enhances health equity, providing a convenient way to access exercises, track progress, and communicate with healthcare providers. The purpose of this study is to validate a smartphone application that has been developed to measure knee ROM automatically and objectively. The study will compare the accuracy of the smartphone app to traditional methods of measuring knee ROM, including visual-based and goniometer-based measurements.","['Public health informatics', 'Mobile Health, wearable devices and patient-generated health data', 'Advanced data visualization tools and techniques']"
Discovering Intersectional Sociodemographic Risk of Child Maltreatment during Child Welfare Using Competing Event Machine Learning Models,"Child maltreatment is a critical issue with far-reaching consequences. Four competing risk machine learning models to predict first maltreatment during child welfare were compared: cause-specific hazard regressions, subdistribution hazard regressions, random survival forest, and dynamic DeepHit. The Random Survival Forest performed best, and it revealed that institutional bias goes beyond race and involves intricate interactions involving race, socio-economic status, and rural/urban conditions. This insight informs the development of more precise and equitable intervention strategies.","['Public health informatics', 'Machine learning and predictive modeling', 'Ethical, legal, and social issues']"
Clean noisy training labels with inductive conformal prediction in multi-modal biomedical data mining,"Labeling biomedical data accurately remains a challenging endeavor. Traditional semi-supervised learning methods often fail to fully harness the potential of available unlabeled data. In response, we introduce an innovative approach centered on reliability-based training data cleaning, incorporating inductive conformal prediction (ICP). This method capitalizes on a limited set of precisely labeled training data and exploits the reliability metrics computed by ICP to rectify mislabeled data points and outliers within extensive, noisy training datasets. To gauge the effectiveness of our approach, we conducted experiments across three classification tasks spanning diverse modalities: filtering drug-induced liver injury (DILI) literature based on title and abstract; predicting ICU admission of COVID-19 patients by employing CT radiomics and electronic health records; subtyping breast cancer through RNA-sequencing data. We systematically introduced varying degrees of noise to the training labels through label permutation. The results reveal substantial enhancements in classification performance: an increase in accuracy across 86 out of 96 DILI experiments (up to 11.4%), improvements in AUROC and AUPRC in all 48 COVID-19 experiments (up to 23.8% and 69.8%, respectively), and enhancements in accuracy and macro-average F1 score in 47 out of 48 RNA-sequencing experiments (up to 74.6% and 89.0%, respectively). Our method presents the potential to significantly elevate classification performance in multi-modal biomedical machine learning tasks. Importantly, it achieves this without the need for an excessive volume of meticulously curated training data.","['Data mining and knowledge discovery', 'Natural Language Processing', 'Machine learning and predictive modeling']"
Automated HIV Case Identification from the MIMIC-IV Database,"Automatic HIV phenotyping is needed for HIV research based on electronic health records (EHRs). MIMIC-IV, an extension of MIMIC-III, contains more than 520,000 hospital admissions and has become a valuable EHR database for secondary medical research. However, there was no prior phenotyping algorithm to extract HIV cases from MIMIC-IV, which requires a comprehensive knowledge of the database. Moreover, previous HIV phenotyping algorithms did not consider the new HIV-1/HIV-2 antibody differentiation immunoassay tests that MIMIC-IV contains. Our work provided insight into the structure and data elements in MIMIC-IV and proposed a new HIV phenotyping algorithm to fill in these gaps. The results included MIMIC-IV's data tables and elements used, 1,781 and 1,843 HIV cases from MIMIC-IV's versions 0.4 and 2.1, respectively, and summary statistics of these two HIV case cohorts. They could be used for the development of statistical and machine learning models in future studies about the disease.","['Cohort discovery', 'EHR-based phenotyping', 'Secondary use of EHR data']"
Learning Phenotypic Associations for Parkinson's Disease with Longitudinal Clinical Records,"Parkinson's disease (PD) is associated with multiple clinical motor and non-motor manifestations. Understanding of PD etiologies has been informed by a growing number of genetic mutations and various fluid-based and brain imaging biomarkers. However, the mechanisms underlying its varied phenotypic features remain elusive. The present work introduces a data-driven approach for generating phenotypic association graphs for PD cohorts. Data collected by the Parkinson's Progression Markers Initiative (PPMI), the Parkinson's Disease Biomarkers Program (PDBP), and the Fox Investigation for New Discovery of Biomarkers (BioFIND) were analyzed by this approach to identify heterogeneous and longitudinal phenotypic associations that may provide insight into the pathology of this complex disease. Findings based on the phenotypic association graphs could improve understanding of longitudinal PD pathologies and how these relate to patient symptomology.","['Data mining and knowledge discovery', 'Data-driven research and discovery', 'EHR-based phenotyping']"
David (LLaMA) takes on Goliath (GPT-4) in an NLP Task of Extracting Adverse Drug Reactions from DailyMed,"We instruction-tuned LLaMA on the task of extracting adverse drug reactions from free text of DailyMed articles and compared that with a one-shot learning approach with InstructGPT and GPT-4. We found that parameter efficient fine-tuning (PEFT) and instruction-tuning approaches are highly effective and competitive, and are suitable for biomedical NLP tasks.","['Natural Language Processing', 'Informatics research/biomedical informatics research methods', 'Machine learning and predictive modeling']"
