row_id,submission_TITLE,HIGHLIGHTED THEME (OPTIONAL),submission_ABSTRACT,KEYWORDS_SELECTION
1,Evaluating the effect of frame rate in sequence-based classification of autism-related self-stimulatory hand idiosyncrasies,"Telehealth, Wearable Devices, and Patient-Generated Health Data: The New Frontiers of Informatics","Autism spectrum disorder (ASD) affects a substantial population globally, necessitating efficient, scalable, and accessible detection methods. While machine learning offers promise, conventional CNN models have the propensity to overfit when trained on small datasets. In this study, we evaluated two models: an LSTM-based and a faster GRU-based model on the SSBD dataset. Both outperformed CNN models, with peak accuracies of 97.5% (LSTM) and 98.75% (GRU) achieved when sampling videos every 15 frames. We further find that sampling every other frame performs optimally compared with other sampling rates. Our work demonstrates the potential for low-parameter models to provide a solution to cost-effectiveA SD diagnosis, especially in developing countries.","['Clinical decision support for translational/data science interventions', 'Biomarker discovery and development', 'Machine learning and predictive modeling']"
2,Developing Prompts from Large Language Model for Extracting Clinical Information from Pathology and Ultrasound Reports in Breast Cancer,Harnessing the Power of Large Language Models in Health Data Science,"Objectives: We aimed to assess the efficiency, accuracy, and cost-effectiveness of utilizing a large language model (LLM) to extract clinical factors from surgical pathology and ultrasound reports of breast cancer patients.Methods: Data from breast cancer patients (2020-2022) undergoing radiotherapy were collected. The 'LLM' method, employing GPT for SheetsTM and DocsTM, was used to extract information. Prompt development time and cost were compared against 'Full manual' and 'LLM-assisted manual' methods. Accuracy was evaluated by comparing LLM-extracted data with 'Full manual' data for 60 randomly selected patients.Results: Data from 2,931 patients were collected. We created 12 prompts each for Extract and Format functions, achieving 88.3% overall accuracy. Notably, surgery type and lymphovascular invasion had 100% accuracy. Prompt development took 3.5 hours, processing 15 minutes. Using ChatGPT API incurred a $65.8 cost; including wage estimates totaled $91.7. 'LLM-assisted manual' and 'LLM' methods were efficient and cost-effective compared to 'Full manual'.Conclusion: Efficient prompt development for LLM facilitated the extraction of vital clinical information from extensive medical records, showcasing the potential of natural language processing with LLM models in breast cancer research. Our prompts can benefit other studies collecting clinical data. This study underscores the value of LLMs in enhancing clinical information extraction processes.","['Natural Language Processing', 'EHR-based phenotyping', 'Clinical and research data collection, curation, preservation, or sharing']"
3,Association Rule Mining of Real-World Data: Uncovering Risk Patterns for Suicide Attempts in Individuals with Diabetes,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"We included 3,266,856 people with diabetes from Cerner Real-World Data™ to identify a high-risk group of suicide attempts among patients with diabetes utilizing association rule mining. The study confirms the links between type 2 diabetes, anxiety, depression, and suicide attempts in individuals with diabetes. New findings associated with suicide attempts from our study included race identified as White, average blood glucose 100 mg/dl.","['Data mining and knowledge discovery', 'Data-driven research and discovery', 'Secondary use of EHR data']"
4,Cybersecurity in Disaster Telehealth: The National Emergency Tele-Critical Care Network (NETCCN) Experience,"Telehealth, Wearable Devices, and Patient-Generated Health Data: The New Frontiers of Informatics","In recent decades, digital telehealth technologies have been deployed at an increasing rate. An important but under-reported aspect of this transformation has been an increase in the vulnerability of health care infrastructure to cybersecurity threats. This is true in everyday patient care, but also in disasters and mass casualties, where telehealth technologies may be rapidly deployed and scaled to address surge capacity and improve access to emergency or specialty care. Here we report on the cybersecurity threats encountered during early deployments of the National Emergency Tele-Critical Care Network, a web-enabled health information and communications platform designed to bring high-quality critical care expertise to any location in the United States.","['Data security and privacy', 'Mobile Health, wearable devices and patient-generated health data']"
5,GRU-D-Weibull: A Novel Real-Time Individualized Endpoint Prediction,Integrating Multi-Modal health Data to Enhance the Power of Informatics,"Accurate prediction models for individual-level endpoints and time-to-endpoints are crucial in clinical practice. In this study, we propose a novel approach, GRU-D-Weibull, which combines gated recurrent units with decay (GRU-D) to model the Weibull distribution. Our method enables real-time individualized endpoint prediction and population-level risk management. Using a cohort of 6,879 patients with stage 4 chronic kidney disease (CKD4), we evaluated the performance of GRU-D-Weibull in endpoint prediction. The C-index of GRU-D-Weibull was ~0.7 at the index date and increased to ~0.77 after 4.3 years of follow-up, similar to random survival forest. Our approach achieved an absolute L1-loss of ~1.1 years (SD=0.95) at the CKD4 index date and a minimum of ~0.45 years (SD=0.3) at 4 years of follow-up, outperforming competing methods significantly. GRU-D-Weibull consistently constrained the predicted survival probability at the time of an event within a smaller and more fixed range compared to other models throughout the follow-up period. We observed significant correlations between the error in point estimates and missing proportions of input features at the index date (correlations from ~0.1 to ~0.3), which diminished within 1 year as more data became available. By post-training recalibration, we aligned the predicted and observed survival probabilities across multiple prediction horizons at different time points during follow-up. The findings underscore the promise of the GRU-D-Weibull architecture as a suitable candidate for real-time individualized CKD4 endpoint risk management, calling for additional refinements and clinical confirmation.","['Data-driven research and discovery', 'Clinical decision support for translational/data science interventions', 'Secondary use of EHR data']"
6,Real World Evidence of Cardiotoxicity: Breast Cancer Oncology Regimens,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"This study investigates the cardiotoxicity effects of eight common chemotherapy drugs used in breast cancer treatment based on 6,299 de-identified patient records. The findings reveal elevated low-density lipoprotein cholesterol levels and marginal ejection fraction, among other conditions. These results underscore the need for clinicians to consider cardiovascular risks when planning cancer treatment. The study contributes real-world evidence to the cardio-oncology field, emphasizing the necessity for ongoing monitoring and further research to mitigate these complications.","['Informatics research/biomedical informatics research methods', 'Patient centered research and care', 'Informatics for cancer immunotherapy']"
7,"15,242 Ways to Die: Developing and testing a method to extract an inferred concept with Canary",,"Medical Examiner databases have a large proportion of unstructured text fields for capturing data for investigation of death, not research. As such, research documentation tends to be inferred from the notes rather than simply extracted electronically. This study seeks to determine the location and condition of the body at time of death, called cadaver condition, from scene and decedent notes in a medical examiner database. Natural Language Processing (NLP) was performed using Canary NLP software. After NLP, a set of rules were determined and applied to establish cadaver condition, as different combinations of text could be extracted. An F1 score of 0.86 on the testing sample indicates that the model works well to determine this inferred data. Although this field is difficult to electronically extract due a to lack of structured fields, NLP provides an option for ascertaining the cadaver condition of the decedent.",['Natural Language Processing']
8,Prediction and uncertainty quantification of medical diagnosis through neural machine translation of clinical procedure codes,,A Clinical Decision Support System (CDSS) is an interactive recommendation system that facilitates clinical decision-making. These systems suffer from challenges rooted in the high complexities of medical knowledge and low accessibility of patient data. We developed a framework capable of accurate prediction and uncertainty quantification (UQ) of medical diagnoses which is able to track and assess patients’ conditions via effective UQ through the utilization of neural machine translation of clinical procedure codes and Shannon’s entropy.,"['Clinical decision support for translational/data science interventions', 'Machine learning and predictive modeling']"
9,Retrospective evaluation of QTc Drug-Drug interaction (DDI) Clinical Decision Support (CDS) alerts and Tisdale risk score calculator utilization in the inpatient setting at Brigham and Women’s Hospital (BWH),Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,Clinical Decision Support (CDS) Drug-Drug Interaction (DDI) alerts in the electronic health record usually exclude patient-specific factors. The Tisdale risk score calculator uses clinical variables to predict which hospitalized patients are at high risk for QTc prolongation. The goal of the study was to determine the rate of QTc DDI overrides and Tisdale risk scores. A secondary outcome was to determine the rate of Adverse Drug Events associated with overrides.,"['Clinical decision support for translational/data science interventions', 'Measuring outcomes', 'Enterprise data warehouse/Data lake']"
10,Development of a Decision-Making Support System for Children with Pneumonia in Pediatric Intensive Care Units,"Telehealth, Wearable Devices, and Patient-Generated Health Data: The New Frontiers of Informatics","This study leverages clinical data from the National Taiwan University Hospital Pediatric Intensive Care Unit (PICU) database to develop machine learning models for predicting mortality risk in pediatric patients with pneumonia. These models offer versatility, as they can be employed upon the ICU admission or during the ICU stay, even in cases where laboratory data is not readily available. The primary aim is to mitigate the burden on healthcare professionals and support clinical decision-making.","['Clinical decision support for translational/data science interventions', 'Measuring outcomes', 'Machine learning and predictive modeling']"
